Country,Year,Num_RDT,No_cases_treated
Angola,2020,"7,570,498","5,797,209"
,2021,"6,481,900","7,793,251"
,2022,"18,119,755","7,858,802"
Benin,2020,"4,202,384","2,095,303"
,2021,"2,298,798","2,985,960"
,2022,"3,060,466","3,060,466"
Botswana,2020,-,953
,2021,-,519
,2022,-,86
Burkina Faso,2020,"12,936,865","10,237,424"
,2021,"9,794,711","11,030,942"
,2022,"16,410,865","10,693,078"
Burundi,2020,"7,773,268","4,289,288"
,2021,"9,563,340","5,693,645"
,2022,"12,793,380","6,768,576"
Cabo Verde,2020,"4,399",10
,2021,"4,279",21
,2022,"6,196",27
Cameroon,2020,"2,840,269","1,122,865"
,2021,"2,027,275","1,359,417"
,2022,"3,107,869","1,878,449"
Central African Republic,2020,"2,181,204","1,740,970"
,2021,"2,736,457","2,223,562"
,2022,"2,771,175","2,460,689"
Chad,2020,"2,340,650","1,452,420"
,2021,"1,788,058","1,012,958"
,2022,"2,073,184","1,243,864"
Comoros,2020,-,"4,546"
,2021,"31,467","10,547"
,2022,"120,595","11,100"
Congo,2020,0,"103,692"
,2021,-,"187,940"
,2022,-,"349,345"
Côte d'Ivoire,2020,"4,837,781","4,365,387"
,2021,"7,338,750","6,234,917"
,2022,"814,500","6,671,931"
Democratic Republic of the Congo,2020,"28,054,832","19,192,707"
,2021,"26,740,915","18,535,664"
,2022,"34,941,153","23,153,840"
Equatorial Guinea,2020,-,-
,2021,-,-
,2022,-,"33,075"
Eritrea,2020,"505,675","73,419"
,2021,"437,525","42,056"
,2022,"275,147","65,572"
Eswatini,2020,"104,325",316
,2021,"52,400",474
,2022,"51,725",367
Ethiopia,2020,"7,055,575","1,197,131"
,2021,"7,004,725","1,126,731"
,2022,"7,685,700","2,634,520"
Gabon,2020,"1,250","30,819"
,2021,"38,093","103,866"
,2022,"37,481","85,741"
Gambia,2020,"525,505","72,300"
,2021,"773,375","72,247"
,2022,"488,650","110,988"
Ghana,2020,-,"5,174,075"
,2021,"10,663,060","5,728,505"
,2022,"10,483,525","5,142,790"
Guinea,2020,"3,205,353","1,792,653"
,2021,"3,803,960","2,358,447"
,2022,"4,161,365","2,118,957"
Guinea-Bissau,2020,-,"130,251"
,2021,-,"176,172"
,2022,-,"156,057"
Kenya,2020,"7,223,850","5,899,605"
,2021,"5,930,410","3,618,614"
,2022,"8,128,865","4,078,547"
Liberia,2020,-,"621,695"
,2021,"2,158,290","785,485"
,2022,"794,026","555,691"
Madagascar,2020,"1,950,471","1,667,856"
,2021,"4,345,213","1,921,755"
,2022,"4,224,253","1,612,781"
Malawi,2020,"16,258,123","7,095,977"
,2021,"13,075,023","6,723,831"
,2022,"10,711,306","4,257,729"
Mali,2020,"2,927,529","1,793,074"
,2021,"3,267,184","2,126,004"
,2022,"5,386,462","2,446,785"
Mauritania,2020,-,760
,2021,0,342
,2022,-,-
Mayotte,2020,-,-
,2021,-,-
,2022,-,-
Mozambique,2020,"21,425,892","11,132,323"
,2021,"24,986,825","9,979,416"
,2022,"27,978,200","12,281,121"
Namibia,2020,"258,145","13,636"
,2021,"263,202","13,738"
,2022,"362,797","11,849"
Niger,2020,"5,915,007","4,773,512"
,2021,"689,230","3,349,226"
,2022,"6,010,843","4,478,917"
Nigeria,2020,"15,593,375","19,902,369"
,2021,"40,314,426","22,634,148"
,2022,"19,102,990","23,704,759"
Rwanda,2020,"2,449,765","1,048,450"
,2021,"2,300,270","1,059,628"
,2022,"2,057,026","822,300"
Sao Tome and Principe,2020,"165,100","1,772"
,2021,"156,757","2,515"
,2022,"224,319","3,979"
Senegal,2020,"3,324,538","442,413"
,2021,"4,736,075","520,738"
