Country,Species,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
African,,,,,,,,,,,,,,
Algeria1,Indigenous cases,1*,1*,55*,8*,0*,0*,0*,0*,0*,0*,0*,0*,0*
,Total P. falciparum,,,,,0,0,0,0,0,0,0,0,0
,Total P. vivax,,,,,0,0,0,0,0,0,0,0,0
,Total mixed cases,,,,,,0,0,0,0,0,0,0,0
,Total other cases,,,,,0,0,0,0,0,0,0,0,0
,Imported cases,396,187,828,587,260,727,420,446,"1,241","1,014","2,725","1,164","1,292"
Angola,Indigenous cases,"1,682,870","1,632,282","1,496,834","1,999,868","2,298,979","2,769,305","3,794,253","3,874,892","5,150,575","7,054,978","7,343,696","8,325,921","7,858,860"
,Total P. falciparum,,,,,,,,,,,,,
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Benin,Indigenous cases,,"422,968","705,839","1,090,602","1,309,238","1,721,626","1,610,790","1,933,912","1,975,812","2,895,878","2,516,646","2,634,063","2,474,689"
,Total P. falciparum,,"68,745",,,"1,044,235","1,268,347","1,324,576","1,696,777","1,768,450","2,895,878","2,516,646","2,634,063","2,474,689"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,0,,,,,,,,,,,
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Botswana,Indigenous cases,"1,046",432,193,456,"1,346",284**,659**,1’847**,534*,169*,884*,703*,397**
,Total P. falciparum,"1,046",432,193,456,"1,346",278,640,"1,831",534,169,884,703,397
,Total P. vivax,,,,,,,,4,,,,,0
,Total mixed cases,,,,,,,12,3,0,0,0,0,0
,Total other cases,0,0,0,0,0,,,,,,,,
,Imported cases,,,,30,30,48,64,62,51,103,69,26,49
Burkina Faso,Indigenous cases,"804,539","428,113","3,858,046","3,769,051","5,428,655","7,015,446","9,779,411","10,557,260","10,278,970","5,877,426","10,600,340","11,791,638","11,415,559"
,Total P. falciparum,,,,,,,,,,"5,877,426","10,248,510","11,791,638","11,415,559"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Burundi,Indigenous cases,"1,763,447","1,575,237","2,166,690","4,178,338","4,726,299","5,428,710","8,793,176","8,795,952","4,966,511","9,959,533","4,720,103","6,615,714","8,117,435"
,Total P. falciparum,,,,,,,,,,,"3,963,662","5,424,395","8,117,435"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Cabo Verde,Indigenous cases,47,7*,1*,22*,26*,7*,49*,423*,2*,0*,0*,0*,0*
,Total P. falciparum,47,7,1,22,26,7,49,423,2,0,0,0,0
,Total P. vivax,,,,,,,,,,0,0,0,0
,Total mixed cases,0,,,,0,0,0,0,0,0,0,0,0
,Total other cases,0,,,,,,,,,0,0,0,0
,Imported cases,,29,35,24,20,20,28,23,18,39,10,20,26
Cameroon,Indigenous cases,,"17,874","66,656","42,581",,"1,193,281","2,476,153","2,244,788","2,257,633","2,819,803","2,890,193","3,335,174","3,327,381"
,Total P. falciparum,,,,,,"592,351","1,675,264","1,191,257","1,249,705","2,318,830","2,890,193","3,335,174","3,327,381"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,0,0,0,0,0,0,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Indigenous cases,,,"87,566","163,701","295,088","598,833","1,239,317","411,913","972,119","2,416,960","1,740,970","2,002,149","2,247,250"
,Total P. falciparum,,,,,"295,088","598,833","1,032,764","383,309","972,119","2,416,960","1,740,970","2,002,149","2,247,250"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,0,,,,,0,0,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Indigenous cases,"200,448","181,126","7,710","754,565","914,032","787,046","1,294,768","1,962,372","1,364,706","1,632,529","1,544,194","1,418,539","1,671,060"
,Total P. falciparum,,,,,,,,,,"1,480,402",,"1,418,539",0
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Comoros,Indigenous cases,"36,538","24,856","49,840","53,156","2,203","1,884","1,467","3,896","15,613",17’599**,4’546*,10’537*,20’675**
,Total P. falciparum,"33,791","21,387","43,681","45,687","2,203","1,300","1,066","2,274","15,613","17,599","4,546","10,537","20,675"
,Total P. vivax,528,334,637,72,,,,,,,,,0
,Total mixed cases,0,0,,,0,0,0,0,0,0,0,0,0
,Total other cases,880,557,0,363,0,0,0,0,0,,,,
,Imported cases,,,,,,,,,,98,0,10,6
Congo,Indigenous cases,,"37,744","120,319","43,232","66,323","51,529","171,847","127,939","116,903","117,837","91,538","189,616","364,466"
,Total P. falciparum,,"37,744","120,319","43,232","66,323","51,529","171,847","127,939","116,903","117,837","91,538","189,616","364,466"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,0,0,,0,0,0,0,0,0,0,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,Indigenous cases,"62,726","29,976","1,140,627","2,524,326","3,712,831","3,375,904","3,754,504","4,034,781","4,766,477","5,935,178","4,980,640","7,295,068","8,145,591"
,Total P. falciparum,,,,"2,506,953","3,712,831","3,375,904","3,471,024","3,274,683","4,766,477","5,935,178","4,980,640","7,295,068","7,171,584"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,0,0,0,0,0,0,0,,0,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Indigenous cases,"2,417,780","4,561,981","4,791,598","6,719,887","10,288,519","12,538,805","16,821,130","16,793,002","16,972,207","21,608,681","22,590,647","23,249,165","27,349,509"
,Total P. falciparum,"2,417,780","4,561,981","4,791,598","6,719,887","10,288,519","12,538,805","16,821,130","16,793,002","16,972,207","21,608,681","22,590,647","23,249,165","27,349,509"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,0,0,0,,,,,,,,,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Equatorial Guinea,Indigenous cases,"53,813","22,466","15,169","16,405","20,417","15,142","147,714","15,725","8,962","25,904",,,"71,204"
,Total P. falciparum,"53,813","22,466","15,169","16,405","17,452",,,,,,,,
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,Indigenous cases,"35,982","34,848","21,815","21,317","50,534","28,036","24,251","54,005","46,440","93,878","74,041","43,463","65,063"
,Total P. falciparum,"9,785","10,263","12,121","12,482","23,787","14,510","20,704","21,849","16,553","75,568","66,600","37,696","56,208"
,Total P. vivax,"3,989","4,932","9,204","7,361","6,780","4,780","2,999","9,185","6,108","15,790","7,119","5,613","8,506"
,Total mixed cases,63,94,346,"1,391",166,70,543,429,268,"2,340",300,120,293
,Total other cases,57,19,0,83,35,12,5,23,26,180,22,34,56
Eswatini,Indigenous cases,268,379**,409**,728**,389**,318*,250*,440*,686*,252***,243*,505**,214**
,Total P. falciparum,87,189,192,268,389,318,250,440,686,235,233,505,214
,Total P. vivax,,,,,,,,,,,,,0
,Total mixed cases,0,0,0,0,0,0,0,0,0,,0,0,
,Total other cases,0,,,,,,,,,,,,
,Imported cases,,170,153,234,322,157,67,687,271,337,82,76,155
Ethiopia,Indigenous cases,"1,196,829","1,480,360","1,692,578","2,645,454","2,118,815","1,867,059","1,718,504","1,530,739","962,087","904,495","1,743,755",1’396’315**,1’731’097**
,Total P. falciparum,"732,776","814,547","946,595","1,687,163","1,250,110","1,188,627","1,142,235","1,059,847","859,675","738,155","1,340,869","912,075","1,323,355"
,Total P. vivax,"390,252","665,813","745,983","958,291","868,705","678,432","576,269","470,892","102,412","166,340","263,877","252,589","388,416"
,Total mixed cases,"73,801",,,,,,,,,,"30,051","14,380",
,Total other cases,0,0,0,0,0,0,0,0,0,0,"108,958",,
,Imported cases,,,,,,,,,,,,836,"1,465"
Gabon,Indigenous cases,"13,936",,"19,753","28,982","31,900","23,867","23,915","35,244","111,719","53,182","53,659","64,957","45,783"
,Total P. falciparum,"2,157",,,"26,432","26,117",,"23,915","35,244","111,719","52,811","53,659","64,957","45,783"
,Total P. vivax,720,,,,,,,,,,,,
,Total mixed cases,55,,,0,0,,0,0,0,371,0,0,0
,Total other cases,"2,015",0,0,0,"1,570",0,0,0,0,0,0,0,0
Gambia,Indigenous cases,"116,353","268,020","313,469","242,513","168,256","246,348","162,739","78,040","87,448","53,386","75,801","73,781","119,104"
,Total P. falciparum,"64,108","190,379","271,038","240,792","99,976","240,382","153,685","69,931","87,448","53,386","75,801","73,781","119,104"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
