Country,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Algeria1,2,3",Suspected cases,,"11,974","15,790","12,762","8,690","8,000","6,628","6,469","10,081","8,620","11,197","7,220","1,292"
,Presumed and confirmed,,191,887,603,266,747,432,453,"1,242","1,014","2,726","1,164","1,292"
,Confirmed,,191,887,603,266,747,432,453,"1,242","1,014","2,726","1,164","1,292"
,Microscopy examined,,"11,974","15,790","12,762","8,690","8,000","6,628","6,469","10,081","8,620","11,197","7,220","1,292"
,Microscopy positive,,191,887,603,266,747,432,453,"1,242","1,014","2,726","1,164","1,292"
,Imported cases,,187,828,587,260,727,420,446,"1,241","1,014","2,725","1,164","1,292"
Angola,Suspected cases,"4,591,529","4,469,357","4,849,418","5,273,305","6,134,471","6,839,963","7,649,902","11,050,353","10,870,446","14,341,390","13,989,836","15,624,710","16,172,933"
,Presumed and confirmed,"3,687,574","3,501,953","3,031,546","3,144,100","3,180,021","3,254,270","4,301,146","4,500,221","5,928,260","7,530,788","7,682,739","9,169,267","9,221,410"
,Confirmed,"1,682,870","1,632,282","1,496,834","1,999,868","2,298,979","2,769,305","3,794,253","3,874,892","5,150,575","7,054,978","7,343,696","8,325,921","7,858,860"
,Microscopy examined,"1,947,349","1,765,933","2,245,223","3,025,258","3,398,029","3,345,693","4,183,727","7,493,969","5,066,780","5,643,654","5,216,938","6,663,417","7,857,537"
,Microscopy positive,"1,324,264","1,147,473","1,056,563","1,462,941","1,431,313","1,396,773","2,058,128","2,199,810","2,442,500","2,557,385","2,359,788","3,424,950","3,934,900"
,RDT examined,"639,476","833,753","1,069,483","1,103,815","1,855,400","3,009,305","2,959,282","2,931,055","5,025,981","8,221,926","8,433,855","8,117,947","6,926,016"
,RDT positive,"358,606","484,809","440,271","536,927","867,666","1,372,532","1,736,125","1,675,082","2,708,075","4,497,593","4,983,908","4,900,971","3,923,960"
Benin,Suspected cases,,"1,928,016","2,431,902","2,091,263","2,930,569","2,733,611","2,184,524","2,705,456","2,880,743","3,958,782","3,572,587","3,965,763","4,059,542"
,Presumed and confirmed,"1,873,015","1,786,864","2,069,728","1,717,115","2,122,011","2,042,684","1,667,005","1,968,532","2,255,946",3’084’525*,"2,632,959",2’928’382*,"2,571,043"
,Confirmed,,"422,968","705,839","1,090,602","1,309,238","1,721,626","1,610,790","1,933,912","1,975,812",2’895’878*,"2,516,646",2’634’063*,"2,474,689"
